Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.4064,-124.6113,-90.0,top
C5,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.1,-121.1625,90.0,top
C26,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.2,-125.4,0.0,top
C27,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.0508,-121.2596,90.0,top
C28,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.112,-122.9145,-90.0,top
D1,WireHole_1p5,WireHole_1p2,125.2,-119.1,0.0,top
D2,WireHole_1p5,WireHole_1p2,136.4996,-120.904,0.0,top
D3,WireHole_1p5,WireHole_1p2,136.5504,-124.6632,0.0,top
D4,WireHole_1p5,WireHole_1p2,128.6,-119.1,0.0,top
D5,WireHole_1p5,WireHole_1p2,119.8,-117.3,0.0,top
D6,WireHole_1p5,WireHole_1p2,125.0,-126.3396,0.0,top
D7,WireHole_1p5,WireHole_1p2,132.334,-125.984,0.0,top
D8,WireHole_1p5,WireHole_1p2,119.8,-129.5,0.0,top
D9,WireHole_1p5,WireHole_1p2,129.7432,-126.0856,0.0,top
D17,WireHole_1p5,WireHole_1p2,115.316,-120.0,0.0,top
D18,WireHole_1p5,WireHole_1p2,115.3668,-126.0,0.0,top
D19,WireHole_1p5,WireHole_1p2,115.316,-123.0,0.0,top
L1,SWPA4030S1R0NT,IND_SWPA4030S_SNL,130.6322,-122.3772,180.0,top
U1,LM5160ADNTR,DNT0012B,123.8504,-122.428,270.0,top
