"Source:","C:\Projects\BANO_Working\Git_from_20230827\BANO_StepDown_LMR51420\Main_PCB_002.kicad_sch"
"Date:","17.11.2023 20:39:28"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, ","2","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C2, C4, ","2","C","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor",""
"CR1, ","1","MMSZ5228B-7-F","MMSZ5228B-7-F","MMSZ5228B:SOD123_DIO","",""
"D1, D2, D3, D4, D5, ","5","WireHole_1p5","WireHole_1p5","Wire_holes:WireHole_1p2","",""
"L1, ","1","VLS3012HBX-3R3M","VLS3012HBX-3R3M","ul_VLS3012HBX-3R3M:IND_VLS3012HBX-3R3M_TDK","",""
"R1, R2, R3, R4, ","4","R","R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","Resistor",""
"U1, ","1","LMR51420XDDCR","LMR51420XDDCR","ul_LMR51420XDDCR:SOT23_DDC_TEX","",""
"U2, ","1","TLV9061IDCKR","TLV9061IDCKR","ul_TLV9061IDCKR:DCK5_TEX","",""
